id,raw_text,clean_text,detected_slang_terms,formal_translation,sentiment,confidence_label,source,platform,unknown_terms,quality_flags
28,"""Hey that guy over there is cringy"" ""Are you kidding Francis is the definition of cringe!""",hey that guy over there is cringy are you kidding francis is the definition of cringe,cringe,Hey that guy over there is cringy are you kidding francis is the definition of embarrassing or uncomfortable to witness.,negative,medium,local_urban_dictionary_api,urban_dictionary,kidding,contains_unknown_terms
29,Tap water hits different at 3:00 am,tap water hits different at 3 00 am,hits different,Tap water feels unusually meaningful or satisfying at 3 00 am.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean
30,We locked in for life !,we locked in for life,locked in,We focused and ready to perform for life.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean
31,"Person 1: Hey, man. Are you alright? You've been going on about Gon Freecss for a while, now.. Person 2: I'm alright! I just have a case of brainrot, is all. NE, NE KILLUA!","person 1 hey, man. are you alright? you've been going on about gon freecss for a while, now. person 2 i'm alright! i just have a case of brainrot, is all. ne, ne killua",brainrot,"Person 1 hey, man. are you alright? you've been going on about gon freecss for a while, now. person 2 i'm alright! i just have a case of content or language that is absurd, repetitive, and internet-influenced, is all. ne, ne killua.",neutral,medium,local_urban_dictionary_api,urban_dictionary,going,contains_unknown_terms
32,GYATT (that’s all that needs to be said),gyatt that s all that needs to be said,gyatt,An exaggerated reaction of surprise or admiration that s all that needs to be said.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean
36,"Until Ja started yappin' in magazines how we stabbed him Fuck it 50 smash 'em, mash 'em and let him have it","until ja started yappin' in magazines how we stabbed him fuck it 50 smash 'em, mash 'em and let him have it",,"Until ja started yappin' in magazines how we stabbed him fuck it 50 smash 'em, mash 'em and let him have it.",neutral,low,local_urban_dictionary_api,urban_dictionary,stabbed|started,missing_slang|contains_unknown_terms|low_translation_confidence
37,"Man 1: yes so my daughter just got a good VCE result i'm so proud next week the wife and I... Man 2: okay buddy quit yapping this ain't yapghanistan here we speak English not yapanese, now beat it pal!","man 1 yes so my daughter just got a good vce result i'm so proud next week the wife and i. man 2 okay buddy quit yapping this ain't yapghanistan here we speak english not yapanese, now beat it pal",yapping,"Man 1 yes so my daughter just got a good vce result i'm so proud next week the wife and i. man 2 okay buddy quit talking at length, often unnecessarily this ain't yapghanistan here we speak english not yapanese, now beat it pal.",negative,medium,local_urban_dictionary_api,urban_dictionary,good,contains_unknown_terms
38,"""been keeping track of my crush's snap score. she's most active on friday, least active on monday, most-"" ""dude. you need to go touch grass. get a job or something damn""""the word 'crazy' is inherently ableist and harms neurodivergent people"" ""oh my god. please touch grass""","been keeping track of my crush's snap score. she's most active on friday, least active on monday, most- dude. you need to go touch grass. get a job or something damn the word 'crazy' is inherently ableist and harms neurodivergent people oh my god. please touch grass",touch grass,"Been keeping track of my crush's snap score. she's most active on friday, least active on monday, most- dude. you need to go take a break from the internet and return to real life. get a job or something damn the word 'crazy' is inherently ableist and harms neurodivergent people oh my god. please take a break from the internet and return to real life.",negative,medium,local_urban_dictionary_api,urban_dictionary,keeping|need|something,contains_unknown_terms
39,"nigga 1: ayo i see my boy rizzing that girl over there, lemme go dap him up.nigga 2: nahhh bro not right now, let him cook.","nigga 1 ayo i see my boy rizzing that girl over there, lemme go dap him up.nigga 2 nahh bro not right now, let him cook",let him cook|bro,"Nigga 1 ayo i see my boy rizzing that girl over there, lemme go dap him up.nigga 2 nahh he not right now, allow someone to continue because they may produce a good result.",positive,medium,local_urban_dictionary_api,urban_dictionary,rizzing,contains_unknown_terms
40,"""... he produced ten classic albums, but after that he definitely fell off. ...""","he produced ten classic albums, but after that he definitely fell off",fell off,"He produced ten classic albums, but after that he definitely declined in quality, popularity, or performance.",negative,medium,local_urban_dictionary_api,urban_dictionary,produced,contains_unknown_terms
41,"Sarah: Tom, did you erase all my MP3s? Tom: Hey! File sharing is a crime, and I'm not gonna be anally raped so you can listen to Usher. Sarah: *Sigh* You know Tom, this whole ""anal rape"" thing is really causing both of us to miss out on a lot in lifeSarah walks away. Seconds later, she realizes her mistake for calling out her husband's traumatizing fear of being anally raped. Tom, who stands in the kitchen with a stern but calm face, watches as his wife approaches him with a serious look.Sarah: Tom, honey, I...I'm...so sorry. I shouldn't have treated your issue so carelessly. I shouldn't have been so...inconsiderate of how you feel. Your fear, your issue,...is 100% valid and I want you to know that I care about you. I know the trauma that you went through was hurtful and has caused you pain and suffering, but I want to let you know...I will always be there for you. Being so open about how you're feeling and expressing your emotions and fears shows how much of a real man you are. That makes you so much of a valid person. It's the reason I married you Tom. I hope you can forgive me. I love you.Tom sheds a tear as he listens to every word Sarah has spoken to him. He's stunned and relieved to hear how much his wife loves him.Tom: Sarah, I always knew you were the one the first time we met. Those words just made my day. I love you too Sarah.Tom and Sarah glance into each other's eyes, and share a wholesome kiss.","sarah tom, did you erase all my mp3s? tom hey! file sharing is a crime, and i'm not gonna be anally raped so you can listen to usher. sarah sigh you know tom, this whole anal rape thing is really causing both of us to miss out on a lot in lifesarah walks away. seconds later, she realizes her mistake for calling out her husband's traumatizing fear of being anally raped. tom, who stands in the kitchen with a stern but calm face, watches as his wife approaches him with a serious look.sarah tom, honey, i.i'm.so sorry. i shouldn't have treated your issue so carelessly. i shouldn't have been so.inconsiderate of how you feel. your fear, your issue.is 100 valid and i want you to know that i care about you. i know the trauma that you went through was hurtful and has caused you pain and suffering, but i want to let you know.i will always be there for you. being so open about how you're feeling and expressing your emotions and fears shows how much of a real man you are. that makes you so much of a valid person. it's the reason i married you tom. i hope you can forgive me. i love you.tom sheds a tear as he listens to every word sarah has spoken to him. he's stunned and relieved to hear how much his wife loves him.tom sarah, i always knew you were the one the first time we met. those words just made my day. i love you too sarah.tom and sarah glance into each other's eyes, and share a wholesome kiss",valid|real,"Sarah tom, did you erase all my mp3s? tom hey! file sharing is a crime, and i'm not gonna be anally raped so you can listen to usher. sarah sigh you know tom, this whole anal rape thing is really causing both of us to miss out on a lot in lifesarah walks away. seconds later, she realizes her mistake for calling out her husband's traumatizing fear of being anally raped. tom, who stands in the kitchen with a stern but calm face, watches as his wife approaches him with a serious look.sarah tom, honey, i.i'm.so sorry. i shouldn't have treated your issue so carelessly. i shouldn't have been so.inconsiderate of how you feel. your fear, your issue.is 100 reasonable, acceptable, or understandable and i want you to know that i care about you. i know the trauma that you went through was hurtful and has caused you pain and suffering, but i want to let you know.i will always be there for you. being so open about how you're feeling and expressing your emotions and fears shows how much of a relatable or truthful man you are. that makes you so much of a reasonable, acceptable, or understandable person. it's the reason i married you tom. i hope you can forgive me. i love you.tom sheds a tear as he listens to every word sarah has spoken to him. he's stunned and relieved to hear how much his wife loves him.tom sarah, i always knew you were the one the first time we met. those words just made my day. i love you too sarah.tom and sarah glance into each other's eyes, and share a wholesome kiss.",positive,medium,local_urban_dictionary_api,urban_dictionary,being|calling|caused|causing|expressing|feeling|look|married|raped|relieved|sharing|sorry|stunned|suffering|thing|too|traumatizing|treated,contains_unknown_terms
42,tay- i didnt know yo mama could cook this good! jj- yea her food be bussin,tay- i didnt know yo mama could cook this good! jj- yea her food be bussin,bussin,"Tay- i didnt know yo mama could cook this good! jj- yea her food be very good, especially food.",positive,medium,local_urban_dictionary_api,urban_dictionary,food|good,contains_unknown_terms
45,All i see is opps in here,all i see is opps in here,,All i see is opps in here.,neutral,low,local_urban_dictionary_api,urban_dictionary,,missing_slang|low_translation_confidence
48,guy 1: i like watching little kids at the park trip and fall on their ugly facesguy 2: real,guy 1 i like watching little kids at the park trip and fall on their ugly facesguy 2 real,real,Guy 1 i like watching little kids at the park trip and fall on their ugly facesguy 2 relatable or truthful.,positive,medium,local_urban_dictionary_api,urban_dictionary,watching,contains_unknown_terms
49,for example a Canon event can be the the time where peter parker became Spider-man because he got bit by a mutated spider and that his uncle got murdered by a burglar which in result made him want to do justice and become a superhero,for example a canon event can be the the time where peter parker became spider-man because he got bit by a mutated spider and that his uncle got murdered by a burglar which in result made him want to do justice and become a superhero,canon event,For example a an unavoidable formative experience can be the the time where peter parker became spider-man because he got bit by a mutated spider and that his uncle got murdered by a burglar which in result made him want to do justice and become a superhero.,neutral,medium,local_urban_dictionary_api,urban_dictionary,murdered|mutated,contains_unknown_terms
50,"""I'm bored but idk what to do... wanna just go out?"" ""Hell yeah man let's go on a side quest!""",i'm bored but idk what to do. wanna just go out? hell yeah man let's go on a side quest,side quest|idk,I'm bored but I do not know what to do. wanna just go out? hell yeah man let's go on a an unexpected secondary task or adventure.,neutral,medium,local_urban_dictionary_api,urban_dictionary,bored,contains_unknown_terms
51,"“But the really important ones are here. I don't want to get too technical, but these are called Core Memories. Each one came from a super important moment in Riley's life, like when she first scored a goal. That was so amazing! And each core memory powers a different aspect of Riley's personality. Like Hockey Island.” ―Joy, opening narration","but the really important ones are here. i don't want to get too technical, but these are called core memories. each one came from a super important moment in riley's life, like when she first scored a goal. that was so amazing! and each core memory powers a different aspect of riley's personality. like hockey island. joy, opening narration",core memory,"But the really important ones are here. i don't want to get too technical, but these are called core memories. each one came from a super important moment in riley's life, like when she first scored a goal. that was so amazing! and each a strongly memorable experience powers a different aspect of riley's personality. like hockey island. joy, opening narration.",positive,medium,local_urban_dictionary_api,urban_dictionary,amazing|called|narration|opening|scored|too,contains_unknown_terms
52,I get great vibes from that song.,i get great vibes from that song,vibes,"I get great general mood, feelings, or atmosphere from that song.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean
53,(commenting on a photo of a cat who looks super lazy) Mood af2017 mood = self care and positive visualization(caption on photoset of Keanu Reeves looking mad existential) big mood,commenting on a photo of a cat who looks super lazy mood af2017 mood self care and positive visualization caption on photoset of keanu reeves looking mad existential big mood,mood,Commenting on a photo of a cat who looks super lazy relatable feeling or current emotional state af2017 relatable feeling or current emotional state self care and positive visualization caption on photoset of keanu reeves looking mad existential big relatable feeling or current emotional state.,neutral,medium,local_urban_dictionary_api,urban_dictionary,commenting|looking|looks,contains_unknown_terms
54,“That song is straight fire”,that song is straight fire,fire,"That song is straight excellent, exciting, or stylish.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean
55,John : did you go to that party last nightDaquan : yes that shit was lit,john did you go to that party last nightdaquan yes that shit was lit,lit,"John did you go to that party last nightdaquan yes that shit was exciting, fun, or excellent.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean
56,"'Dude, I'm a month clean now'","'dude, i'm a month clean now'",clean,"'dude, i'm a month neat, impressive, or well executed now'.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean
57,"Wasteman: ""Shit, My phone battery just died!""Badman: ""Peak for you son""Alternatively-Homeboy #1 ""You got a roach ?""Homeboy #2 ""Na fam , fresh out cuz""Homeboy #1 ""Peak , needed that shit!""","wasteman shit, my phone battery just died! badman peak for you son alternatively-homeboy 1 you got a roach ? homeboy 2 na fam , fresh out cuz homeboy 1 peak , needed that shit",peak|fam,"Wasteman shit, my phone battery just died! badman excellent or at the highest quality for you son alternatively-homeboy 1 you got a roach ? homeboy 2 na friend or familiar group member , fresh out cuz homeboy 1 excellent or at the highest quality , needed that shit.",positive,medium,local_urban_dictionary_api,urban_dictionary,died|needed,contains_unknown_terms
58,She kissed your best friend ? That is wild !,she kissed your best friend ? that is wild,wild,"She kissed your best friend ? that is surprising, intense, or unusual.",neutral,medium,local_urban_dictionary_api,urban_dictionary,kissed,contains_unknown_terms
59,"""Cool story, bro.""","cool story, bro",bro,"Cool story, he.",neutral,medium,local_urban_dictionary_api,urban_dictionary,cool,short_text|contains_unknown_terms
61,my fam wuz mad deep up in the club the other day,my fam wuz mad deep up in the club the other day,fam,My friend or familiar group member wuz mad deep up in the club the other day.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean
62,"""Hey bestie get over here we have a body to bury"". Be right there...",hey bestie get over here we have a body to bury . be right there,bestie,Hey close friend or friendly address get over here we have a body to bury . be right there.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean
63,"""Mamma, life had just begun, but now I've gone and thrown it all away..."" Beautiful.","mamma, life had just begun, but now i've gone and thrown it all away. beautiful",,"Mamma, life had just begun, but now i've gone and thrown it all away. beautiful.",neutral,low,local_urban_dictionary_api,urban_dictionary,,missing_slang|low_translation_confidence
64,"A: My girlfriend just dumped me. B: Hang in there, king. It'll get better.","a my girlfriend just dumped me. b hang in there, king. it'll get better",king,"A my girlfriend just dumped me. b hang in there, admired man or person being praised. it'll get better.",positive,medium,local_urban_dictionary_api,urban_dictionary,dumped,contains_unknown_terms
65,Person 1: I just love Ariana Grande so much I would die for her I would track her every move if I couldPerson 2: woah don't be such a stan,person 1 i just love ariana grande so much i would die for her i would track her every move if i couldperson 2 woah don't be such a stan,stan,Person 1 i just love ariana grande so much i would die for her i would track her every move if i couldperson 2 woah don't be such a strongly support or admire.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean
66,"person: i totally ship dean and castiel! person 2: no way, me too! person 3: i don't ship them that much. i ship castiel and meg more, to be honest.","person i totally ship dean and castiel! person 2 no way, me too! person 3 i don't ship them that much. i ship castiel and meg more, to be honest",ship,"Person i totally support a relationship or pairing dean and castiel! person 2 no way, me too! person 3 i don't support a relationship or pairing them that much. i support a relationship or pairing castiel and meg more, to be honest.",positive,medium,local_urban_dictionary_api,urban_dictionary,too,contains_unknown_terms
67,"Kayla: Oh are you guys official now? Hannah: No, we're doing a soft launch of our relationship incase it doesn't work out Kayla: Good idea!","kayla oh are you guys official now? hannah no, we're doing a soft launch of our relationship incase it doesn't work out kayla good idea",soft launch,"Kayla oh are you guys official now? hannah no, we're doing a subtle public hint about a relationship or project of our relationship incase it doesn't work out kayla good idea.",neutral,medium,local_urban_dictionary_api,urban_dictionary,doing|good,contains_unknown_terms
71,"Implication of low effort: By asking “is that how you’re giving it up,” the speaker is implying that the other person is not giving their best effort.","implication of low effort by asking is that how you re giving it up, the speaker is implying that the other person is not giving their best effort",giving,"Implication of low effort by asking is that how you re suggesting or resembling a certain quality it up, the speaker is implying that the other person is not suggesting or resembling a certain quality their best effort.",neutral,medium,local_urban_dictionary_api,urban_dictionary,asking|implying,contains_unknown_terms
73,"Tyler: Hey, dude. Did you know that I saw Carrie leaving my house party with Drew?Ronald: Oh, really? Say less; I'm going to have a real, long talk with her.","tyler hey, dude. did you know that i saw carrie leaving my house party with drew?ronald oh, really? say less i'm going to have a real, long talk with her",say less|real,"Tyler hey, dude. did you know that i saw carrie leaving my house party with drew?ronald oh, really? I understand and agree i'm going to have a relatable or truthful, long talk with her.",positive,medium,local_urban_dictionary_api,urban_dictionary,carrie|going|leaving,contains_unknown_terms
74,"“Hey, I just got my hair done! What do you think?” “Big Yikes”“Do you wanna go on a date sometime?” “Big Yikes” “How do you think you did in the test? Big yikes?” “Big Yikes”","hey, i just got my hair done! what do you think? big yikes do you wanna go on a date sometime? big yikes how do you think you did in the test? big yikes? big yikes",big yikes,"Hey, i just got my hair done! what do you think? very embarrassing, concerning, or uncomfortable do you wanna go on a date sometime? very embarrassing, concerning, or uncomfortable how do you think you did in the test? very embarrassing, concerning, or uncomfortable? very embarrassing, concerning, or uncomfortable.",negative,high,local_urban_dictionary_api,urban_dictionary,,clean
75,person 1: i dropped my phone person 2: yikesperson 1: im gonna shoot myself in the face person 2: yikes,person 1 i dropped my phone person 2 yikesperson 1 im gonna shoot myself in the face person 2 yikes,yikes,"Person 1 i dropped my phone person 2 yikesperson 1 im gonna shoot myself in the face person 2 embarrassing, concerning, or uncomfortable.",negative,medium,local_urban_dictionary_api,urban_dictionary,dropped|shoot,contains_unknown_terms
76,John: Hey Jack! Vibe Check Jack: Gang Gang vro just chillin my guy!,john hey jack! vibe check jack gang gang vro just chillin my guy,vibe check,John hey jack! informal assessment of mood or suitability jack gang gang vro just chillin my guy.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean
77,'it's impossible to fight against these players with their pay-to-win equipment that kills us in one hit. i think their stats need to be balanced.' 'sounds like skill issue','it's impossible to fight against these players with their pay-to-win equipment that kills us in one hit. i think their stats need to be balanced.' 'sounds like skill issue',skill issue,'it's impossible to fight against these players with their pay-to-win equipment that kills us in one hit. i think their stats need to be balanced.' 'sounds like failure attributed jokingly to lack of skill'.,negative,medium,local_urban_dictionary_api,urban_dictionary,balanced|need,contains_unknown_terms
79,"Person 1: HOW THE FUCK DID THAT BITCH KILL ME?!?! I HAD LEVEL 3 ARMOR AND A PUMP SHOTGUN! FUCKING HACKER! Person 2: Calm down, dude. Quit being such a fucking sweat. Maybe you're just not that good at the game.","person 1 how the fuck did that bitch kill me. i had level 3 armor and a pump shotgun! fucking hacker! person 2 calm down, dude. quit being such a fucking sweat. maybe you're just not that good at the game",sweat,"Person 1 how the fuck did that bitch kill me. i had level 3 armor and a pump shotgun! fucking hacker! person 2 calm down, dude. quit being such a fucking someone trying very hard, especially in games. maybe you're just not that good at the game.",negative,medium,local_urban_dictionary_api,urban_dictionary,being|fucking|good,contains_unknown_terms
80,"1. Guy mopping the bathroom at Subway: ""All those people from my high school that got into Princeton and MIT, they're just a bunch of fucking tryhards.""2. Kid that just got utterly humiliated in Starcraft 2: ""w/e u fuckin tryhard hacker n00bz lol i pwn u next time k 1v1 me NOW!!!11""3. That one douchebag that always brags about his 2500 Facebook friends: ""o hai guys dat 1 nig hes a fuckin tryhard im all like yea i get blazed all the time and shit and i fuck bitches and got all these friends, then hes like dude i dont fucking care stop sending requests to me i dont know you, and i was all like o rly, cool story bro. yeah i fuckin pwned that fail loser tryhard. lol, shit man, im so cool. srsly, pay attention to me plz! guys? anyone?!""4. See above.","1. guy mopping the bathroom at subway all those people from my high school that got into princeton and mit, they're just a bunch of fucking tryhards. 2. kid that just got utterly humiliated in starcraft 2 w e u fuckin tryhard hacker n00bz lol i pwn u next time k 1v1 me now.11 3. that one douchebag that always brags about his 2500 facebook friends o hai guys dat 1 nig hes a fuckin tryhard im all like yea i get blazed all the time and shit and i fuck bitches and got all these friends, then hes like dude i dont fucking care stop sending requests to me i dont know you, and i was all like o rly, cool story bro. yeah i fuckin pwned that fail loser tryhard. lol, shit man, im so cool. srsly, pay attention to me plz! guys? anyone. 4. see above",tryhard|bro|w,"1. guy mopping the bathroom at subway all those people from my high school that got into princeton and mit, they're just a bunch of fucking tryhards. 2. kid that just got utterly humiliated in starcraft 2 a successful outcome e u fuckin someone making excessive effort to win or impress hacker n00bz lol i pwn u next time k 1v1 me now.11 3. that one douchebag that always brags about his 2500 facebook friends o hai guys dat 1 nig hes a fuckin someone making excessive effort to win or impress im all like yea i get blazed all the time and shit and i fuck bitches and got all these friends, then hes like dude i dont fucking care stop sending requests to me i dont know you, and i was all like o rly, cool story he. yeah i fuckin pwned that fail loser someone making excessive effort to win or impress. lol, shit man, im so cool. srsly, pay attention to me plz! guys? anyone. 4. see above.",mixed,medium,local_urban_dictionary_api,urban_dictionary,bathroom|blazed|cool|facebook|fucking|humiliated|lol|mopping|pwned|school|sending,contains_unknown_terms
81,"carry: Man, yesterday when we were playing fortnite I had to carry you guys to a win","carry man, yesterday when we were playing fortnite i had to carry you guys to a win",carry,"Do most of the work for a group man, yesterday when we were playing fortnite i had to do most of the work for a group you guys to a win.",positive,medium,local_urban_dictionary_api,urban_dictionary,playing,contains_unknown_terms
82,"""Dude you guys wouldn't have won if your ADC didn't get fed. He carried you hard.""",dude you guys wouldn't have won if your adc didn't get fed. he carried you hard,carried,Dude you guys wouldn't have won if your adc didn't get fed. he was helped substantially by someone else you hard.,neutral,medium,local_urban_dictionary_api,urban_dictionary,fed,contains_unknown_terms
83,"Oh man, they totally nerfed 'Titans Armor'! Guess I'll stop playing Golem now :/They nerfed Irelia again?? Oh wait, its actually a buff. <-- (opposite of nerf)Great, so now all the free-2-play guns are nerfed, guess I have to buy some to keep competitive. :(","oh man, they totally nerfed 'titans armor'! guess i'll stop playing golem now they nerfed irelia again. oh wait, its actually a buff. -- opposite of nerf great, so now all the free-2-play guns are nerfed, guess i have to buy some to keep competitive",nerfed,"Oh man, they totally weakened or reduced in effectiveness 'titans armor'! guess i'll stop playing golem now they weakened or reduced in effectiveness irelia again. oh wait, its actually a buff. -- opposite of nerf great, so now all the free-2-play guns are weakened or reduced in effectiveness, guess i have to buy some to keep competitive.",negative,medium,local_urban_dictionary_api,urban_dictionary,playing,contains_unknown_terms
84,"The weapons in the game were too weak, so the programmers buffed them to appease the groaning game users.","the weapons in the game were too weak, so the programmers buffed them to appease the groaning game users",buffed,"The weapons in the game were too weak, so the programmers strengthened or improved them to appease the groaning game users.",positive,medium,local_urban_dictionary_api,urban_dictionary,groaning|too,contains_unknown_terms
85,"Al Simmons is the current Spawn, but there have been past Spawns, and there will be future Spawns also.  Cogliostro was a former Spawn, and in pre-issue 100 Spawn, Cog was Al's mentor.  ""Curse of the Spawn"" follows the future Spawn, where as ""Medieval Spawn"" follows the story of a past Spawn, although ""SPAWN"" is the original.","al simmons is the current spawn, but there have been past spawns, and there will be future spawns also. cogliostro was a former spawn, and in pre-issue 100 spawn, cog was al's mentor. curse of the spawn follows the future spawn, where as medieval spawn follows the story of a past spawn, although spawn is the original",spawn,"Al simmons is the current appear or begin in a location, often in games, but there have been past spawns, and there will be future spawns also. cogliostro was a former appear or begin in a location, often in games, and in pre-issue 100 appear or begin in a location, often in games, cog was al's mentor. curse of the appear or begin in a location, often in games follows the future appear or begin in a location, often in games, where as medieval appear or begin in a location, often in games follows the story of a past appear or begin in a location, often in games, although appear or begin in a location, often in games is the original.",neutral,medium,local_urban_dictionary_api,urban_dictionary,current,contains_unknown_terms
86,"""There's a guy camping outside the door with a Covenant Energy Sword. Be careful, lest he perpetrate the ownage against you.""  ""That sniper-ass sniper be camping on top of the base.""","there's a guy camping outside the door with a covenant energy sword. be careful, lest he perpetrate the ownage against you. that sniper-ass sniper be camping on top of the base",camping,"There's a guy staying in one spot to gain an advantage outside the door with a covenant energy sword. be careful, lest he perpetrate the ownage against you. that sniper-ass sniper be staying in one spot to gain an advantage on top of the base.",negative,medium,local_urban_dictionary_api,urban_dictionary,door,contains_unknown_terms
87,Gamer 1: Hey dude. Have you seen the speedrun that Gamer 3 did? Gamer 2: Yeah bro. He broke a record.,gamer 1 hey dude. have you seen the speedrun that gamer 3 did? gamer 2 yeah bro. he broke a record,speedrun|bro,Gamer 1 hey dude. have you seen the complete something very quickly that gamer 3 did? gamer 2 yeah he. he broke a record.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean
88,We are brothers irl.,we are brothers irl,irl,We are brothers in real life.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean
89,The college student had concert fomo.,the college student had concert fomo,fomo,The college student had concert fear of missing out.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean
90,"Guy #1: I had a great day, climbed a hill and didn't check facebook. Guy #2: Good day? Guy #1: Yea pure JOMO.","guy 1 i had a great day, climbed a hill and didn't check facebook. guy 2 good day? guy 1 yea pure jomo",jomo,"Guy 1 i had a great day, climbed a hill and didn't check facebook. guy 2 good day? guy 1 yea pure joy of missing out.",positive,medium,local_urban_dictionary_api,urban_dictionary,climbed|facebook|good,contains_unknown_terms
