id,raw_text,clean_text,detected_slang_terms,formal_translation,sentiment,confidence_label,source,platform,unknown_terms,quality_flags,training_ready
15,"""Man, you heard that new Mike Jones album? That shit slaps!""","man, you heard that new mike jones album? that shit slaps",slaps,"Man, you heard that new mike jones album? that shit is very good or enjoyable.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
16,"Person 1: dude, you're goated person 2: thanks bro","person 1 dude, you're goated person 2 thanks bro",goated|bro,"Person 1 dude, you're considered among the greatest person 2 thanks he.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
17,"""it's a little sus that he seems to know exactly how to play this game"" ''cyan actin' sus''",it's a little sus that he seems to know exactly how to play this game ''cyan actin' sus'',sus,It's a little suspicious or questionable that he seems to know exactly how to play this game ''cyan actin' suspicious or questionable''.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
18,I just vibe on the beat,i just vibe on the beat,vibe,"I just general mood, feeling, or atmosphere on the beat.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
19,"Commenter: It was a good performance. The last note was flat but other than that, his vocals were impressive. Delulu: OMFG BITCH YOU DIEEEEEEE!!!!!!","commenter it was a good performance. the last note was flat but other than that, his vocals were impressive. delulu omfg bitch you diee",delulu,"Commenter it was a good performance. the last note was flat but other than that, his vocals were impressive. unrealistically optimistic or delusional omfg bitch you diee.",negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
20,Person 1: I'm a Sigma! John: Bro's scrolling on tik-tok too much,person 1 i'm a sigma! john bro's scrolling on tik-tok too much,sigma,"Person 1 i'm a independent, self-directed, or confidently unconventional! john bro's scrolling on tik-tok too much.",neutral,medium,local_urban_dictionary_api,urban_dictionary,scrolling|too,contains_unknown_terms,True
21,“Do you have a single original thought process? You npc.”,do you have a single original thought process? you npc,npc,Do you have a single original thought process? you someone perceived as unoriginal or passive.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
22,"“I lowkey wanna eat an entire cake.”“I highkey wanna eat healthy, but lowkey wanna to eat an entire cake.”“I am lowkey in love with Kevin Spacey.”","i lowkey wanna eat an entire cake. i highkey wanna eat healthy, but lowkey wanna to eat an entire cake. i am lowkey in love with kevin spacey",highkey|lowkey,"I somewhat, quietly, or secretly wanna eat an entire cake. i clearly, strongly, or openly wanna eat healthy, but somewhat, quietly, or secretly wanna to eat an entire cake. i am somewhat, quietly, or secretly in love with kevin spacey.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
23,"""damn, I highkey want that shirt!""","damn, i highkey want that shirt",highkey,"Damn, i clearly, strongly, or openly want that shirt.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
24,Daniel: See you next week Yourself: bet or Daniel: You won't talk to Anna you're a pussy Yourself: Bet,daniel see you next week yourself bet or daniel you won't talk to anna you're a pussy yourself bet,bet,"Daniel see you next week yourself agreed, confirmed, or okay or daniel you won't talk to anna you're a pussy yourself agreed, confirmed, or okay.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
25,"""Hey that guy over there is cringy"" ""Are you kidding Francis is the definition of cringe!""",hey that guy over there is cringy are you kidding francis is the definition of cringe,cringe,Hey that guy over there is cringy are you kidding francis is the definition of embarrassing or uncomfortable to witness.,negative,medium,local_urban_dictionary_api,urban_dictionary,kidding,contains_unknown_terms,True
26,Tap water hits different at 3:00 am,tap water hits different at 3 00 am,hits different,Tap water feels unusually meaningful or satisfying at 3 00 am.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
27,We locked in for life !,we locked in for life,locked in,We focused and ready to perform for life.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
28,"Person 1: Hey, man. Are you alright? You've been going on about Gon Freecss for a while, now.. Person 2: I'm alright! I just have a case of brainrot, is all. NE, NE KILLUA!","person 1 hey, man. are you alright? you've been going on about gon freecss for a while, now. person 2 i'm alright! i just have a case of brainrot, is all. ne, ne killua",brainrot,"Person 1 hey, man. are you alright? you've been going on about gon freecss for a while, now. person 2 i'm alright! i just have a case of content or language that is absurd, repetitive, and internet-influenced, is all. ne, ne killua.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
29,GYATT (that’s all that needs to be said),gyatt that s all that needs to be said,gyatt,An exaggerated reaction of surprise or admiration that s all that needs to be said.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
30,"""sticking out your gyat for the rizzler, your so skibiti, your so fanum tax...""","sticking out your gyat for the rizzler, your so skibiti, your so fanum tax",fanum tax,"Sticking out your gyat for the rizzler, your so skibiti, your so playfully taking part of someone's food or resources.",neutral,medium,local_urban_dictionary_api,urban_dictionary,rizzler|sticking,contains_unknown_terms,True
31,Aura has a good personality,aura has a good personality,aura,"Personal presence, confidence, or social energy has a good personality.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
32,John: (to a fine ass girl) Lets get a picture together Girl: I have too much aura for that Mitch: stop aura farming John,john to a fine ass girl lets get a picture together girl i have too much aura for that mitch stop aura farming john,aura farming|aura,"John to a fine ass girl lets get a picture together girl i have too much personal presence, confidence, or social energy for that mitch stop performing actions to appear impressive or confident john.",positive,medium,local_urban_dictionary_api,urban_dictionary,too,contains_unknown_terms,True
33,"Man 1: yes so my daughter just got a good VCE result i'm so proud next week the wife and I... Man 2: okay buddy quit yapping this ain't yapghanistan here we speak English not yapanese, now beat it pal!","man 1 yes so my daughter just got a good vce result i'm so proud next week the wife and i. man 2 okay buddy quit yapping this ain't yapghanistan here we speak english not yapanese, now beat it pal",yapping,"Man 1 yes so my daughter just got a good vce result i'm so proud next week the wife and i. man 2 okay buddy quit talking at length, often unnecessarily this ain't yapghanistan here we speak english not yapanese, now beat it pal.",negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
34,"""been keeping track of my crush's snap score. she's most active on friday, least active on monday, most-"" ""dude. you need to go touch grass. get a job or something damn""""the word 'crazy' is inherently ableist and harms neurodivergent people"" ""oh my god. please touch grass""","been keeping track of my crush's snap score. she's most active on friday, least active on monday, most- dude. you need to go touch grass. get a job or something damn the word 'crazy' is inherently ableist and harms neurodivergent people oh my god. please touch grass",touch grass,"Been keeping track of my crush's snap score. she's most active on friday, least active on monday, most- dude. you need to go take a break from the internet and return to real life. get a job or something damn the word 'crazy' is inherently ableist and harms neurodivergent people oh my god. please take a break from the internet and return to real life.",negative,medium,local_urban_dictionary_api,urban_dictionary,keeping,contains_unknown_terms,True
35,"nigga 1: ayo i see my boy rizzing that girl over there, lemme go dap him up.nigga 2: nahhh bro not right now, let him cook.","nigga 1 ayo i see my boy rizzing that girl over there, lemme go dap him up.nigga 2 nahh bro not right now, let him cook",let him cook|bro,"Nigga 1 ayo i see my boy rizzing that girl over there, lemme go dap him up.nigga 2 nahh he not right now, allow someone to continue because they may produce a good result.",positive,medium,local_urban_dictionary_api,urban_dictionary,rizzing,contains_unknown_terms,True
36,"""... he produced ten classic albums, but after that he definitely fell off. ...""","he produced ten classic albums, but after that he definitely fell off",fell off,"He produced ten classic albums, but after that he definitely declined in quality, popularity, or performance.",negative,medium,local_urban_dictionary_api,urban_dictionary,produced,contains_unknown_terms,True
37,"Sarah: Tom, did you erase all my MP3s? Tom: Hey! File sharing is a crime, and I'm not gonna be anally raped so you can listen to Usher. Sarah: *Sigh* You know Tom, this whole ""anal rape"" thing is really causing both of us to miss out on a lot in lifeSarah walks away. Seconds later, she realizes her mistake for calling out her husband's traumatizing fear of being anally raped. Tom, who stands in the kitchen with a stern but calm face, watches as his wife approaches him with a serious look.Sarah: Tom, honey, I...I'm...so sorry. I shouldn't have treated your issue so carelessly. I shouldn't have been so...inconsiderate of how you feel. Your fear, your issue,...is 100% valid and I want you to know that I care about you. I know the trauma that you went through was hurtful and has caused you pain and suffering, but I want to let you know...I will always be there for you. Being so open about how you're feeling and expressing your emotions and fears shows how much of a real man you are. That makes you so much of a valid person. It's the reason I married you Tom. I hope you can forgive me. I love you.Tom sheds a tear as he listens to every word Sarah has spoken to him. He's stunned and relieved to hear how much his wife loves him.Tom: Sarah, I always knew you were the one the first time we met. Those words just made my day. I love you too Sarah.Tom and Sarah glance into each other's eyes, and share a wholesome kiss.","sarah tom, did you erase all my mp3s? tom hey! file sharing is a crime, and i'm not gonna be anally raped so you can listen to usher. sarah sigh you know tom, this whole anal rape thing is really causing both of us to miss out on a lot in lifesarah walks away. seconds later, she realizes her mistake for calling out her husband's traumatizing fear of being anally raped. tom, who stands in the kitchen with a stern but calm face, watches as his wife approaches him with a serious look.sarah tom, honey, i.i'm.so sorry. i shouldn't have treated your issue so carelessly. i shouldn't have been so.inconsiderate of how you feel. your fear, your issue.is 100 valid and i want you to know that i care about you. i know the trauma that you went through was hurtful and has caused you pain and suffering, but i want to let you know.i will always be there for you. being so open about how you're feeling and expressing your emotions and fears shows how much of a real man you are. that makes you so much of a valid person. it's the reason i married you tom. i hope you can forgive me. i love you.tom sheds a tear as he listens to every word sarah has spoken to him. he's stunned and relieved to hear how much his wife loves him.tom sarah, i always knew you were the one the first time we met. those words just made my day. i love you too sarah.tom and sarah glance into each other's eyes, and share a wholesome kiss",valid|real,"Sarah tom, did you erase all my mp3s? tom hey! file sharing is a crime, and i'm not gonna be anally raped so you can listen to usher. sarah sigh you know tom, this whole anal rape thing is really causing both of us to miss out on a lot in lifesarah walks away. seconds later, she realizes her mistake for calling out her husband's traumatizing fear of being anally raped. tom, who stands in the kitchen with a stern but calm face, watches as his wife approaches him with a serious look.sarah tom, honey, i.i'm.so sorry. i shouldn't have treated your issue so carelessly. i shouldn't have been so.inconsiderate of how you feel. your fear, your issue.is 100 reasonable, acceptable, or understandable and i want you to know that i care about you. i know the trauma that you went through was hurtful and has caused you pain and suffering, but i want to let you know.i will always be there for you. being so open about how you're feeling and expressing your emotions and fears shows how much of a relatable or truthful man you are. that makes you so much of a reasonable, acceptable, or understandable person. it's the reason i married you tom. i hope you can forgive me. i love you.tom sheds a tear as he listens to every word sarah has spoken to him. he's stunned and relieved to hear how much his wife loves him.tom sarah, i always knew you were the one the first time we met. those words just made my day. i love you too sarah.tom and sarah glance into each other's eyes, and share a wholesome kiss.",positive,medium,local_urban_dictionary_api,urban_dictionary,calling|caused|causing|expressing|feeling|look|married|raped|relieved|sharing|sorry|stunned|suffering|too|traumatizing|treated,contains_unknown_terms,True
38,tay- i didnt know yo mama could cook this good! jj- yea her food be bussin,tay- i didnt know yo mama could cook this good! jj- yea her food be bussin,bussin,"Tay- i didnt know yo mama could cook this good! jj- yea her food be very good, especially food.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
39,"""yooo that ice is drippy dawg"" ""yall like the drip?""",yoo that ice is drippy dawg yall like the drip,drip,Yoo that ice is drippy dawg yall like the stylish clothing or fashion sense.,positive,medium,local_urban_dictionary_api,urban_dictionary,yoo,contains_unknown_terms,True
40,"""dude that girl is fit!"" ""right?""",dude that girl is fit! right,fit,Dude that girl is outfit! right.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
41,"Kid (To Lebron) : ""Hi Lebron oh my god I love you, you are the goat and I love you so much"" Random Spectator : ""The glazing is insane""","kid to lebron hi lebron oh my god i love you, you are the goat and i love you so much random spectator the glazing is insane",glazing,"Kid to lebron hi lebron oh my god i love you, you are the goat and i love you so much random spectator the excessively praising someone is insane.",negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
42,Girl or Boy 1: Oh my god hey pookieGirl or Boy 2: His pookie bear,girl or boy 1 oh my god hey pookiegirl or boy 2 his pookie bear,pookie,Girl or boy 1 oh my god hey pookiegirl or boy 2 his affectionate nickname for a friend or loved one bear.,positive,medium,local_urban_dictionary_api,urban_dictionary,pookiegirl,contains_unknown_terms,True
43,guy 1: i like watching little kids at the park trip and fall on their ugly facesguy 2: real,guy 1 i like watching little kids at the park trip and fall on their ugly facesguy 2 real,real,Guy 1 i like watching little kids at the park trip and fall on their ugly facesguy 2 relatable or truthful.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
44,for example a Canon event can be the the time where peter parker became Spider-man because he got bit by a mutated spider and that his uncle got murdered by a burglar which in result made him want to do justice and become a superhero,for example a canon event can be the the time where peter parker became spider-man because he got bit by a mutated spider and that his uncle got murdered by a burglar which in result made him want to do justice and become a superhero,canon event,For example a an unavoidable formative experience can be the the time where peter parker became spider-man because he got bit by a mutated spider and that his uncle got murdered by a burglar which in result made him want to do justice and become a superhero.,neutral,medium,local_urban_dictionary_api,urban_dictionary,murdered|mutated,contains_unknown_terms,True
45,"""I'm bored but idk what to do... wanna just go out?"" ""Hell yeah man let's go on a side quest!""",i'm bored but idk what to do. wanna just go out? hell yeah man let's go on a side quest,side quest|idk,I'm bored but I do not know what to do. wanna just go out? hell yeah man let's go on a an unexpected secondary task or adventure.,neutral,medium,local_urban_dictionary_api,urban_dictionary,bored,contains_unknown_terms,True
46,"“But the really important ones are here. I don't want to get too technical, but these are called Core Memories. Each one came from a super important moment in Riley's life, like when she first scored a goal. That was so amazing! And each core memory powers a different aspect of Riley's personality. Like Hockey Island.” ―Joy, opening narration","but the really important ones are here. i don't want to get too technical, but these are called core memories. each one came from a super important moment in riley's life, like when she first scored a goal. that was so amazing! and each core memory powers a different aspect of riley's personality. like hockey island. joy, opening narration",core memory,"But the really important ones are here. i don't want to get too technical, but these are called core memories. each one came from a super important moment in riley's life, like when she first scored a goal. that was so amazing! and each a strongly memorable experience powers a different aspect of riley's personality. like hockey island. joy, opening narration.",positive,medium,local_urban_dictionary_api,urban_dictionary,amazing|narration|opening|scored|too,contains_unknown_terms,True
47,I get great vibes from that song.,i get great vibes from that song,vibes,"I get great general mood, feelings, or atmosphere from that song.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
48,(commenting on a photo of a cat who looks super lazy) Mood af2017 mood = self care and positive visualization(caption on photoset of Keanu Reeves looking mad existential) big mood,commenting on a photo of a cat who looks super lazy mood af2017 mood self care and positive visualization caption on photoset of keanu reeves looking mad existential big mood,mood,Commenting on a photo of a cat who looks super lazy relatable feeling or current emotional state af2017 relatable feeling or current emotional state self care and positive visualization caption on photoset of keanu reeves looking mad existential big relatable feeling or current emotional state.,neutral,medium,local_urban_dictionary_api,urban_dictionary,commenting|looking,contains_unknown_terms,True
49,“That song is straight fire”,that song is straight fire,fire,"That song is straight excellent, exciting, or stylish.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
50,John : did you go to that party last nightDaquan : yes that shit was lit,john did you go to that party last nightdaquan yes that shit was lit,lit,"John did you go to that party last nightdaquan yes that shit was exciting, fun, or excellent.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
51,"'Dude, I'm a month clean now'","'dude, i'm a month clean now'",clean,"'dude, i'm a month neat, impressive, or well executed now'.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
52,"Wasteman: ""Shit, My phone battery just died!""Badman: ""Peak for you son""Alternatively-Homeboy #1 ""You got a roach ?""Homeboy #2 ""Na fam , fresh out cuz""Homeboy #1 ""Peak , needed that shit!""","wasteman shit, my phone battery just died! badman peak for you son alternatively-homeboy 1 you got a roach ? homeboy 2 na fam , fresh out cuz homeboy 1 peak , needed that shit",peak|fam,"Wasteman shit, my phone battery just died! badman excellent or at the highest quality for you son alternatively-homeboy 1 you got a roach ? homeboy 2 na friend or familiar group member , fresh out cuz homeboy 1 excellent or at the highest quality , needed that shit.",positive,medium,local_urban_dictionary_api,urban_dictionary,died|needed,contains_unknown_terms,True
53,She kissed your best friend ? That is wild !,she kissed your best friend ? that is wild,wild,"She kissed your best friend ? that is surprising, intense, or unusual.",neutral,medium,local_urban_dictionary_api,urban_dictionary,kissed,contains_unknown_terms,True
54,Joe: my mom died yesterdayJohn: bruuhhJoe: Yo my mom just won million dollarsJohn: bRuHhhJoe: my mom made dinner for us John: bruh,joe my mom died yesterdayjohn bruuhhjoe yo my mom just won million dollarsjohn bruhhjoe my mom made dinner for us john bruh,bruh,Joe my mom died yesterdayjohn bruuhhjoe yo my mom just won million dollarsjohn bruhhjoe my mom made dinner for us john that is frustrating.,negative,medium,local_urban_dictionary_api,urban_dictionary,died,contains_unknown_terms,True
55,my fam wuz mad deep up in the club the other day,my fam wuz mad deep up in the club the other day,fam,My friend or familiar group member wuz mad deep up in the club the other day.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
56,"""Hey bestie get over here we have a body to bury"". Be right there...",hey bestie get over here we have a body to bury . be right there,bestie,Hey close friend or friendly address get over here we have a body to bury . be right there.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
57,"A: My girlfriend just dumped me. B: Hang in there, king. It'll get better.","a my girlfriend just dumped me. b hang in there, king. it'll get better",king,"A my girlfriend just dumped me. b hang in there, admired man or person being praised. it'll get better.",positive,medium,local_urban_dictionary_api,urban_dictionary,dumped,contains_unknown_terms,True
58,Person 1: I just love Ariana Grande so much I would die for her I would track her every move if I couldPerson 2: woah don't be such a stan,person 1 i just love ariana grande so much i would die for her i would track her every move if i couldperson 2 woah don't be such a stan,stan,Person 1 i just love ariana grande so much i would die for her i would track her every move if i couldperson 2 woah don't be such a strongly support or admire.,positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
59,"person: i totally ship dean and castiel! person 2: no way, me too! person 3: i don't ship them that much. i ship castiel and meg more, to be honest.","person i totally ship dean and castiel! person 2 no way, me too! person 3 i don't ship them that much. i ship castiel and meg more, to be honest",ship,"Person i totally support a relationship or pairing dean and castiel! person 2 no way, me too! person 3 i don't support a relationship or pairing them that much. i support a relationship or pairing castiel and meg more, to be honest.",positive,medium,local_urban_dictionary_api,urban_dictionary,too,contains_unknown_terms,True
60,"Kayla: Oh are you guys official now? Hannah: No, we're doing a soft launch of our relationship incase it doesn't work out Kayla: Good idea!","kayla oh are you guys official now? hannah no, we're doing a soft launch of our relationship incase it doesn't work out kayla good idea",soft launch,"Kayla oh are you guys official now? hannah no, we're doing a subtle public hint about a relationship or project of our relationship incase it doesn't work out kayla good idea.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
61,Did you see Lizzo announced a Hard Launch with her new man on Instagram?!,did you see lizzo announced a hard launch with her new man on instagram,hard launch,Did you see lizzo announced a clear public announcement of a relationship or project with her new man on instagram.,neutral,medium,local_urban_dictionary_api,urban_dictionary,announced|lizzo,contains_unknown_terms,True
62,MDM really are rent free in Hydra’s head.,mdm really are rent free in hydra s head,rent free,Mdm really are constantly occupying someone's thoughts in hydra s head.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
63,"She slayed that outfit, she understood the assignment!","she slayed that outfit, she understood the assignment",understood the assignment,"She slayed that outfit, she met expectations very well.",positive,medium,local_urban_dictionary_api,urban_dictionary,slayed,contains_unknown_terms,True
64,"Implication of low effort: By asking “is that how you’re giving it up,” the speaker is implying that the other person is not giving their best effort.","implication of low effort by asking is that how you re giving it up, the speaker is implying that the other person is not giving their best effort",giving,"Implication of low effort by asking is that how you re suggesting or resembling a certain quality it up, the speaker is implying that the other person is not suggesting or resembling a certain quality their best effort.",neutral,medium,local_urban_dictionary_api,urban_dictionary,asking|implying,contains_unknown_terms,True
65,Wen I said “the dress is giving” Or to describe something “it’s giving bundle up” if it’s cold outside,wen i said the dress is giving or to describe something it s giving bundle up if it s cold outside,giving,Wen i said the dress is suggesting or resembling a certain quality or to describe something it s suggesting or resembling a certain quality bundle up if it s cold outside.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
66,"Tyler: Hey, dude. Did you know that I saw Carrie leaving my house party with Drew?Ronald: Oh, really? Say less; I'm going to have a real, long talk with her.","tyler hey, dude. did you know that i saw carrie leaving my house party with drew?ronald oh, really? say less i'm going to have a real, long talk with her",say less|real,"Tyler hey, dude. did you know that i saw carrie leaving my house party with drew?ronald oh, really? I understand and agree i'm going to have a relatable or truthful, long talk with her.",positive,medium,local_urban_dictionary_api,urban_dictionary,carrie|leaving,contains_unknown_terms,True
67,"“Hey, I just got my hair done! What do you think?” “Big Yikes”“Do you wanna go on a date sometime?” “Big Yikes” “How do you think you did in the test? Big yikes?” “Big Yikes”","hey, i just got my hair done! what do you think? big yikes do you wanna go on a date sometime? big yikes how do you think you did in the test? big yikes? big yikes",big yikes,"Hey, i just got my hair done! what do you think? very embarrassing, concerning, or uncomfortable do you wanna go on a date sometime? very embarrassing, concerning, or uncomfortable how do you think you did in the test? very embarrassing, concerning, or uncomfortable? very embarrassing, concerning, or uncomfortable.",negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
68,person 1: i dropped my phone person 2: yikesperson 1: im gonna shoot myself in the face person 2: yikes,person 1 i dropped my phone person 2 yikesperson 1 im gonna shoot myself in the face person 2 yikes,yikes,"Person 1 i dropped my phone person 2 yikesperson 1 im gonna shoot myself in the face person 2 embarrassing, concerning, or uncomfortable.",negative,medium,local_urban_dictionary_api,urban_dictionary,dropped|shoot,contains_unknown_terms,True
69,John: Hey Jack! Vibe Check Jack: Gang Gang vro just chillin my guy!,john hey jack! vibe check jack gang gang vro just chillin my guy,vibe check,John hey jack! informal assessment of mood or suitability jack gang gang vro just chillin my guy.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
70,'it's impossible to fight against these players with their pay-to-win equipment that kills us in one hit. i think their stats need to be balanced.' 'sounds like skill issue','it's impossible to fight against these players with their pay-to-win equipment that kills us in one hit. i think their stats need to be balanced.' 'sounds like skill issue',skill issue,'it's impossible to fight against these players with their pay-to-win equipment that kills us in one hit. i think their stats need to be balanced.' 'sounds like failure attributed jokingly to lack of skill'.,negative,medium,local_urban_dictionary_api,urban_dictionary,balanced,contains_unknown_terms,True
71,"Carly was clutch when she pulled off a perfect grade on her biochem exam, despite having March Madness going on for weeks prior.One of Michael Jordan's reasons for being the GOAT is due to clutch shooting in a do-or-die situation.","carly was clutch when she pulled off a perfect grade on her biochem exam, despite having march madness going on for weeks prior.one of michael jordan's reasons for being the goat is due to clutch shooting in a do-or-die situation",clutch,"Carly was successful under pressure when she pulled off a perfect grade on her biochem exam, despite having march madness going on for weeks prior.one of michael jordan's reasons for being the goat is due to successful under pressure shooting in a do-or-die situation.",positive,medium,local_urban_dictionary_api,urban_dictionary,having|pulled|shooting,contains_unknown_terms,True
72,"Person 1: HOW THE FUCK DID THAT BITCH KILL ME?!?! I HAD LEVEL 3 ARMOR AND A PUMP SHOTGUN! FUCKING HACKER! Person 2: Calm down, dude. Quit being such a fucking sweat. Maybe you're just not that good at the game.","person 1 how the fuck did that bitch kill me. i had level 3 armor and a pump shotgun! fucking hacker! person 2 calm down, dude. quit being such a fucking sweat. maybe you're just not that good at the game",sweat,"Person 1 how the fuck did that bitch kill me. i had level 3 armor and a pump shotgun! fucking hacker! person 2 calm down, dude. quit being such a fucking someone trying very hard, especially in games. maybe you're just not that good at the game.",negative,medium,local_urban_dictionary_api,urban_dictionary,fucking,contains_unknown_terms,True
